First author,Study accession,Publication date,Journal,Title,Reported trait,Trait(s),Discovery sample number and ancestry,Replication sample number and ancestry,Association count,Summary statistics,ftp downloads
Rühlemann MC,GCST90011411,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_74 (Alistipes) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011411/GCST90011411_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011412,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_8 (Ruminococcaceae) abundance,gut microbiome measurement,8956 European,'-,14,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011412/GCST90011412_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011413,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_80 (Ruminococcus) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011413/GCST90011413_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011414,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_82 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011414/GCST90011414_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011415,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_86 (Phascolarctobacterium) abundance,gut microbiome measurement,8956 European,'-,18,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011415/GCST90011415_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011416,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_9 (Alistipes) abundance,gut microbiome measurement,8956 European,'-,9,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011416/GCST90011416_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011417,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_95 (Cytophagales) abundance,gut microbiome measurement,8956 European,'-,12,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011417/GCST90011417_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011418,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU97_97 (Clostridiales) abundance,gut microbiome measurement,8956 European,'-,8,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011418/GCST90011418_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011419,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_1 (Bacteroides) abundance,gut microbiome measurement,8956 European,'-,7,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011419/GCST90011419_buildGRCh37.tsv.gz
Rühlemann MC,GCST90011420,2021-01-18T00:00:00Z,Nat Genet,"Genome-wide association study in 8,956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.",OTU99_106 (Barnesiella) abundance,gut microbiome measurement,8956 European,'-,10,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011420/GCST90011420_buildGRCh37.tsv.gz
